created_date,status,segmento,comision_actual,logistic_type,store_type,barrio,category,cooking_time,tiene_otra_app,brand_id,store_id
2025-09-15T20:56:03.790Z,active,Microstores,42.0,3P,New brand,CENTRO,,15 min,Sí,13845.0,113963
2025-09-15T20:38:21.783Z,active,Microstores,42.0,3P,New brand,RAMOS MEJÍA,Sushi,40 min,No,12183.0,111842
2025-09-15T20:03:09.921Z,active,Microstores,42.0,3P,New brand,LOMAS DEL MIRADOR,Parrilla,30 min,Sí,12877.0,100174
2025-09-15T19:35:54.780Z,active,Microstores,45.0,3P,New brand,ECHESORTU,Desayunos y meriendas,15 min,Sí,12971.0,114576
2025-09-15T18:54:51.775Z,active,Microstores,43.5,3P,New brand,CENTRO,Empanadas,30 min,Sí,13631.0,100588
2025-09-15T18:47:08.886Z,active,Microstores,42.0,3P,New brand,LA PLATA,Empanadas,20 min,No,10719.0,111598
2025-09-15T18:46:41.720Z,active,Microstores,42.0,3P,New brand,CENTRO,Sándwiches,30 min,Sí,11241.0,106140
2025-09-15T18:42:41.813Z,active,Microstores,42.0,3P,Brand expansion,CENTRO,Pizza,45 min,Sí,13071.0,100514
2025-09-15T18:17:31.794Z,active,Microstores,42.0,3P,New brand,LOMAS DEL MIRADOR,Sushi,25 min,Sí,14174.0,101269
2025-09-15T17:54:12.775Z,active,Microstores,42.0,3P,Brand expansion,BELGRANO,Ensaladas,30 min,No,10092.0,106255
2025-09-15T17:29:36.778Z,active,Microstores,42.0,3P,New brand,VILLA LUZURIAGA,Desayunos y meriendas,15 min,No,11924.0,109169
2025-09-15T17:22:45.793Z,active,Microstores,42.0,3P,New brand,MORÓN,Desayunos y meriendas,15 min,Sí,14569.0,100904
2025-09-15T17:19:20.770Z,active,Microstores,45.0,3P,New brand,ALBERTO OLMEDO,Hamburguesa,15 min,Sí,10554.0,104443
2025-09-15T17:11:40.808Z,active,Microstores,42.0,3P,Brand expansion,CENTRO,,35 min,No,11002.0,108252
2025-09-15T17:06:54.794Z,active,Picked Locals,33.0,3P,New brand,CENTRO,Ensaladas,15 min,No,12482.0,110045
2025-09-15T16:40:20.806Z,active,Microstores,42.0,3P,New brand,BALVANERA,Peruana,25 min,No,12194.0,113476
2025-09-15T16:21:00.337Z,active,Microstores,45.0,3P,New brand,MONSERRAT,Desayunos y meriendas,25 min,No,12415.0,104434
2025-09-15T15:59:52.213Z,active,Microstores,42.0,3P,New brand,LA PLATA,Venezolana,35 min,Sí,12360.0,106996
2025-09-15T15:38:39.295Z,active,Microstores,42.0,3P,New brand,CENTRO,Bebidas,15 min,Sí,11469.0,103416
2025-09-15T15:22:49.287Z,active,Microstores,42.0,3P,New brand,CENTRO,Bebidas,15 min,Sí,10497.0,106604
2025-09-15T15:07:08.286Z,active,Microstores,42.0,3P,New brand,COFICO,Milanesas,15 min,No,10146.0,113371
2025-09-15T14:31:09.283Z,active,Microstores,42.0,3P,New brand,ESPAÑA Y HOSPITALES,Empanadas,30 min,No,11531.0,104724
2025-09-15T14:22:41.283Z,active,Microstores,46.5,3P,New brand,LA PLATA,Hamburguesa,15 min,No,12518.0,111920
2025-09-15T14:20:29.277Z,active,Microstores,45.0,3P,New brand,VICENTE LÓPEZ,Desayunos y meriendas,40 min,No,13885.0,112681
2025-09-04T14:45:16.333Z,active,Microstores,42.0,3P,New brand,MUNRO,Empanadas,20 min,No,14298.0,114959
2025-09-03T14:22:15.819Z,active,Microstores,42.0,3P,New brand,CENTRO,Pastas,5 min,Sí,12924.0,109124
2025-09-03T13:45:11.825Z,active,Microstores,42.0,3P,New brand,CENTRO,Milanesas,30 min,Sí,11622.0,103054
2025-09-02T14:03:03.280Z,active,Microstores,42.0,3P,New brand,CENTRO,Empanadas,30 min,Sí,13253.0,104173
2025-09-02T13:23:45.265Z,active,Microstores,42.0,3P,New brand,CENTRO,Empanadas,10 min,Sí,12673.0,102172
2025-08-29T17:04:23.309Z,active,Top Players,27.0,3P,Brand expansion,LAS MALVINAS,Empanadas,10 min,Sí,12073.0,112458
2025-08-29T16:58:37.254Z,active,Top Players,24.0,3P,Brand expansion,ALBERTO OLMEDO,China,10 min,Sí,12129.0,103808
2025-08-28T14:36:33.895Z,active,Microstores,42.0,3P,New brand,CENTRO,Hamburguesa,15 min,Sí,13020.0,103647
2025-08-28T14:28:30.894Z,active,Microstores,42.0,3P,New brand,GENERAL PAZ,Desayunos y meriendas,10 min,Sí,11253.0,101053
2025-08-28T14:22:47.923Z,active,Microstores,42.0,3P,New brand,NUEVA CORDOBA,Desayunos y meriendas,10 min,Sí,11253.0,109155
2025-08-28T14:18:39.901Z,active,Microstores,42.0,3P,New brand,CENTRO,Desayunos y meriendas,10 min,Sí,11253.0,101225
2025-08-28T14:12:23.901Z,active,Microstores,42.0,3P,New brand,ALTA CORDOBA,Desayunos y meriendas,10 min,Sí,11368.0,102938
2025-08-28T14:09:47.889Z,active,Microstores,42.0,3P,New brand,ALMAGRO,Venezolana,15 min,No,11081.0,102242
2025-08-27T14:42:27.888Z,active,Microstores,42.0,3P,New brand,PALERMO,Venezolana,15 min,No,10381.0,104097
2025-08-26T15:38:09.966Z,active,Microstores,42.0,3P,New brand,VILLA DEVOTO,Desayunos y meriendas,10 min,No,10981.0,107894
2025-08-26T15:28:25.984Z,active,Microstores,42.0,3P,New brand,BOULOGNE SUR MER,Helado,20 min,No,11420.0,115232
2025-08-26T15:23:04.941Z,active,Microstores,42.0,3P,New brand,RETIRO,Desayunos y meriendas,15 min,Sí,12470.0,103270
2025-08-25T12:48:32.065Z,active,Microstores,42.0,3P,New brand,ECHESORTU,Desayunos y meriendas,30 min,Sí,10590.0,100104
2025-08-21T15:56:49.916Z,active,Microstores,42.0,3P,New brand,,Milanesas,40 min,Sí,11282.0,100978
2025-08-20T12:09:34.911Z,active,Microstores,42.0,3P,New brand,AVELLANEDA,Desayunos y meriendas,10 min,Sí,11462.0,108513
2025-08-19T15:18:27.939Z,active,Microstores,42.0,3P,New brand,RAMOS MEJÍA,Sándwiches,10 min,No,14106.0,114749
2025-08-19T15:17:10.071Z,active,Microstores,42.0,3P,New brand,CENTRO,Desayunos y meriendas,15 min,Sí,10384.0,103673
2025-08-19T15:09:21.276Z,active,Microstores,42.0,3P,New brand,,Desayunos y meriendas,15 min,Sí,10352.0,107085
2025-08-19T15:07:43.231Z,active,Microstores,37.5,3P,New brand,LA PLATA,Milanesas,25 min,Sí,10797.0,102833
2025-08-19T14:58:23.237Z,active,Microstores,42.0,3P,New brand,CENTRO,Empanadas,20 min,Sí,12133.0,113701
2025-08-19T14:53:12.395Z,active,Microstores,42.0,3P,New brand,NUEVA CORDOBA,Desayunos y meriendas,10 min,Sí,10888.0,109292
2025-08-19T14:48:26.259Z,active,Microstores,42.0,3P,New brand,LA PLATA,Empanadas,15 min,Sí,12174.0,114260
2025-08-19T14:42:31.906Z,active,Microstores,42.0,3P,New brand,CENTRO,Bebidas,10 min,Sí,12007.0,109994
2025-08-19T14:39:10.934Z,active,Microstores,42.0,3P,New brand,CENTRO,Desayunos y meriendas,10 min,Sí,10888.0,102330
2025-08-19T14:38:43.282Z,active,Microstores,39.0,3P,New brand,LAS FLORES,Sándwiches,10 min,Sí,14541.0,115367
2025-08-19T14:28:23.929Z,active,Microstores,42.0,3P,New brand,CENTRO,Sándwiches,15 min,Sí,11679.0,101690
