YEAR,MONTH,STORE_ID,CUS_CUST_ID,STORE_STAGE_LIFECYCLE,STORE_STAGE_LIFECYCLE_PREV_MONTH,SEGMENTO,STATUS,NEIGHBOURHOOD,LONGITUDE,LATITUDE,LOCATION,CITY,AUD_INS_DTTM,AUD_UPD_DTTM
2022,7,48074590,1009224102,New,,LH,active,PALERMO,-58.42880830000001,-34.5868501,"-34.5868501, -58.42880830000001",CABA,2025-09-23,2025-09-23
2022,7,48075274,516487806,New,,LH,active,BELGRANO,-58.4555678,-34.5653897,"-34.5653897, -58.4555678",CABA,2025-09-23,2025-09-23
2022,7,48075280,569148290,New,,LH,active,BELGRANO,-58.461586,-34.5593514,"-34.5593514, -58.461586",CABA,2025-09-23,2025-09-23
2022,7,48140632,473561584,New,,,,BELGRANO,,,,CABA,2025-09-23,2025-09-23
2022,7,48143923,1160323895,New,,CA,active,NUÑEZ,-58.4576251,-34.5527125,"-34.5527125, -58.4576251",CABA,2025-09-23,2025-09-23
2022,7,48158647,1137597234,New,,LH,,BELGRANO,,,,CABA,2025-09-23,2025-09-23
2022,7,48179317,307804100,New,,LH,active,SAAVEDRA,-58.474276481597315,-34.54140210226721,"-34.54140210226721, -58.474276481597315",CABA,2025-09-23,2025-09-23
2022,8,,,,,,,,,,,,2025-09-23,2025-09-23
2022,8,12934043,263837620,Retained,New,LH,active,BELGRANO,-58.45617,-34.5558939,"-34.5558939, -58.45617",CABA,2025-09-23,2025-09-23
2022,8,12934212,325235348,Retained,New,LH,active,SAAVEDRA,-58.4698487,-34.5467674,"-34.5467674, -58.4698487",CABA,2025-09-23,2025-09-23
2022,8,30011566,166524936,Retained,New,LH,active,VILLA URQUIZA,-58.4770215,-34.5693248,"-34.5693248, -58.4770215",CABA,2025-09-23,2025-09-23
2022,8,30031928,379998872,New,,CA,active,PALERMO,-58.4103784,-34.5882118,"-34.5882118, -58.4103784",CABA,2025-09-23,2025-09-23
2022,8,30046471,437547701,Retained,New,CA,active,BELGRANO,-58.4542411,-34.5552099,"-34.5552099, -58.4542411",CABA,2025-09-23,2025-09-23
2022,8,30062626,405974860,Retained,New,LT,active,BELGRANO,-58.4586754,-34.5578317,"-34.5578317, -58.4586754",CABA,2025-09-23,2025-09-23
2022,8,30062796,420663278,New,,LT,active,COLEGIALES,-58.45611989999999,-34.5686684,"-34.5686684, -58.45611989999999",CABA,2025-09-23,2025-09-23
2022,8,30063813,416517593,Retained,New,LH,active,BELGRANO,-58.46024430000001,-34.5657293,"-34.5657293, -58.46024430000001",CABA,2025-09-23,2025-09-23
2022,8,30068017,241749986,Retained,New,LT,active,COLEGIALES,-58.44752359999999,-34.572056,"-34.572056, -58.44752359999999",CABA,2025-09-23,2025-09-23
2022,8,30071852,59181700,Retained,New,CA,active,NUÑEZ,-58.47191299999999,-34.543634,"-34.543634, -58.47191299999999",CABA,2025-09-23,2025-09-23
2022,8,30089951,452928066,Retained,New,LH,active,VILLA URQUIZA,-58.47751640000001,-34.5730917,"-34.5730917, -58.47751640000001",CABA,2025-09-23,2025-09-23
2022,8,30271531,420340998,Retained,New,LH,active,BELGRANO,-58.4575664,-34.5624327,"-34.5624327, -58.4575664",CABA,2025-09-23,2025-09-23
2022,8,30367127,123550343,New,,CA,active,BELGRANO,-58.46132710000001,-34.5613072,"-34.5613072, -58.46132710000001",CABA,2025-09-23,2025-09-23
2022,8,30368505,388856680,Retained,New,LT,active,BELGRANO,-58.4573091,-34.5530148,"-34.5530148, -58.4573091",CABA,2025-09-23,2025-09-23
2022,8,30386879,491462419,Churn,New,CA,active,NUÑEZ,-58.46172079999999,-34.5449216,"-34.5449216, -58.46172079999999",CABA,2025-09-23,2025-09-23
2022,8,30401832,445205652,New,,LT,active,PALERMO,-58.43752019999999,-34.5830941,"-34.5830941, -58.43752019999999",CABA,2025-09-23,2025-09-23
2022,8,30449465,280401558,Retained,New,LT,active,BELGRANO,-58.45763229999999,-34.5674542,"-34.5674542, -58.45763229999999",CABA,2025-09-23,2025-09-23
2022,8,30601002,511342998,New,,LH,active,COLEGIALES,-58.4600209,-34.5752075,"-34.5752075, -58.4600209",CABA,2025-09-23,2025-09-23
2022,8,30652448,507496200,New,,LH,active,BELGRANO,-58.4589069,-34.5632344,"-34.5632344, -58.4589069",CABA,2025-09-23,2025-09-23
2022,8,30654135,472462362,Retained,New,LT,active,BELGRANO,-58.4705111,-34.5690034,"-34.5690034, -58.4705111",CABA,2025-09-23,2025-09-23
2022,8,30725348,79064134,New,,CA,active,VILLA URQUIZA,-58.49386020000001,-34.5669948,"-34.5669948, -58.49386020000001",CABA,2025-09-23,2025-09-23
2022,8,30995178,221062963,Retained,New,LT,active,VILLA ORTUZAR,-58.46391089999999,-34.5786549,"-34.5786549, -58.46391089999999",CABA,2025-09-23,2025-09-23
2022,8,31035673,345083056,Retained,New,LT,active,BELGRANO,-58.462222,-34.5571555,"-34.5571555, -58.462222",CABA,2025-09-23,2025-09-23
2022,8,31157729,270208554,Retained,New,LH,active,PALERMO,-58.44671609999999,-34.5687106,"-34.5687106, -58.44671609999999",CABA,2025-09-23,2025-09-23
2022,8,31213459,268632605,Retained,New,LH,active,VILLA URQUIZA,-58.4849822,-34.5753585,"-34.5753585, -58.4849822",CABA,2025-09-23,2025-09-23
2022,8,31437474,441165577,Retained,New,LH,active,BELGRANO,-58.4446769,-34.5647829,"-34.5647829, -58.4446769",CABA,2025-09-23,2025-09-23
2022,8,31514593,180049694,Retained,New,LT,active,BELGRANO,-58.45673559999999,-34.5607572,"-34.5607572, -58.45673559999999",CABA,2025-09-23,2025-09-23
2022,8,31610109,459543678,Retained,New,LH,active,BELGRANO,-58.4366365,-34.554053,"-34.554053, -58.4366365",CABA,2025-09-23,2025-09-23
2022,8,31683645,468482702,Retained,New,LH,active,PALERMO,-58.4288792,-34.5877233,"-34.5877233, -58.4288792",CABA,2025-09-23,2025-09-23
2022,8,31764765,194813043,Retained,New,LH,active,BELGRANO,-58.4630141,-34.5602305,"-34.5602305, -58.4630141",CABA,2025-09-23,2025-09-23
2022,8,32066261,170051229,Retained,New,LT,active,BELGRANO,-58.46214149999999,-34.55838290000001,"-34.55838290000001, -58.46214149999999",CABA,2025-09-23,2025-09-23
2022,8,32205419,474455486,Retained,New,LH,active,NUÑEZ,-58.4555248,-34.5503336,"-34.5503336, -58.4555248",CABA,2025-09-23,2025-09-23
